,pid,a,b,gid,gname,difficulty,avg_correct,avg_duration,avg_done,gnumber,gnumber_1,gnumber_2
0,03a1285e-57e9-11e7-bd3c-535dd5b4cd13,0.4428366528236107,2.088386795880776,a3620f78-53f4-11e7-8a21-d7c7a84f7da5,根据解析式求自变量的取值范围,75.0,0.8823529411764706,15042.64705882353,17,19-1.1.7,19,1
1,74e8c24a-1cfd-11e8-b4a9-0b61e30c635c,0.9242617889076148,0.7049714067166942,a36868c8-53f4-11e7-8a23-4fa52ac347f0,判断实际问题对应的函数图象,75.0,0.6451612903225806,33203.13261648745,279,19-1.2.2,19,1
2,8f3710c6-30b1-11e8-9375-4ff019c9c3a2,0.9597098766853238,0.5140792652949727,a2940e84-53f4-11e7-89bc-3f3aecfb239c,利用正方形的性质求线段长,65.0,0.6060606060606061,38747.395454545454,660,18-2.3.2,18,2
3,ac8ab280-2da6-11e8-884b-1b12643af621,0.7161031470750658,-1.3845337353020497,a2f74f12-53f4-11e7-89d6-b7bd8cc736dd,利用平行四边形的性质求线段长,65.0,0.2222222222222222,47479.444444444445,27,18-1.1.3,18,1
4,eebc8af0-57e8-11e7-b786-4fe43477f9be,0.560818867249396,-1.7773611935409082,a2bf43e2-53f4-11e7-89c6-47d6ed60a93f,与平行四边形周长或面积相关的计算,55.0,0.15789473684210525,7943.0,19,18-2.3.8,18,2
5,576194e4-1d26-11e8-86c6-2faa4a16ef97,0.2895897337978564,-2.585096250405431,a3fe7548-53f4-11e7-8a4c-972b206c2f7a,一次函数中复杂的面积问题,85.0,0.07246376811594203,141553.57971014493,69,19-2.3.12,19,2
6,bf2864a6-fc31-11e7-8803-5fb75fc932e7,0.791547556553997,-1.5,a3dae0d8-53f4-11e7-8a43-b718b013ccf1,给定两个一次函数，求交点坐标,65.0,1.0,30837.66666666667,6,19-2.3.2,19,2
7,c38aec9a-c9d6-11e7-ad7a-1f2b53be5be5,0.9986802656810196,0.09307543909952168,a0de9050-53f4-11e7-8960-4f75de847178,求等腰三角形底边上的高,65.0,0.5192307692307693,74398.61538461539,156,17-1.1.14,17,1
8,eee816de-57e8-11e7-b794-6b97be7257a0,0.9991337344188111,0.07540688172666482,a2c6e214-53f4-11e7-89c8-37fccf958203,判断中点四边形的形状,65.0,0.5155807365439093,48298.04249291785,353,18-2.3.17,18,2
9,22236f0a-30b3-11e8-a38b-7b7ba2349c72,0.9889760228387542,-0.2689661136475445,a2f4c558-53f4-11e7-89d4-9394e17ac6b5,与矩形的周长或面积相关的计算,75.0,0.4444444444444444,51861.22222222222,18,18-2.3.9,18,2
10,4e988f24-c9d5-11e7-bd4b-6f8979109f28,0.9083259842123221,-0.7758035343251821,a0dc1906-53f4-11e7-895f-9b4438a6db72,求直角三角形斜边上的高,65.0,0.3404255319148936,102033.75531914894,94,17-1.1.13,17,1
11,baa69484-e61a-11e7-b53c-6b9ad2fc1b18,0.9730634610298182,-0.4203667705307455,a289d5ea-53f4-11e7-89ba-0f67bb7991bb,直接从四边形判定菱形,75.0,0.4132231404958678,111694.6694214876,242,18-2.2.8,18,2
12,8ff644e4-e644-11e7-a478-47cccaedd6af,0.7399619005311161,-1.321084685509051,a3198e92-53f4-11e7-89ef-83dd2de961d1,利用菱形的性质求线段长,75.0,0.23376623376623376,109612.70129870133,77,18-2.2.3,18,2
13,712fc286-f447-11e7-a7f1-fbf05590243c,0.7362801480125759,-1.3309877487530029,a42d8fa4-53f4-11e7-8a5d-d7ffd09cb78a,给出正比例函数图象上的某点坐标，求函数解析式,85.0,0.23194748358862144,31072.671772428883,457,19-2.1.9,19,2
14,7766a3b4-2e7a-11e8-8c78-538b94c175b7,0.3435793896089259,-2.3909688996895944,a3092002-53f4-11e7-89e3-13a0602cf1d9,与平行四边形有关的面积计算或证明,85.0,0.08764367816091954,42107.06465517241,696,18-1.1.16,18,1
15,d0ca1a94-e645-11e7-ac75-ab7c54cb08c5,0.5153302422033039,-1.8935921802689342,a2744018-53f4-11e7-89b5-7f0d42f691d7,直接从四边形判定矩形,85.0,0.14168377823408626,30397.1498973306,487,18-2.1.11,18,2
16,eb2b2d10-04c2-11e8-8e3d-4b695408ee9c,0.814186560780764,0.5,a336e9ce-53f4-11e7-8a06-f316295dbf5b,利用中位线的性质求角度,75.0,0.0,5748.0,1,18-1.2.7,18,1
17,f6c930ca-2805-11e8-bb39-d7e45fb91aa6,0.8149390575153416,1.1067615829226016,a0a7e244-53f4-11e7-894c-17bfcd330291,根据同类二次根式求字母的值,75.0,0.7255813953488373,82863.04186046512,645,16-3.1.16,16,3
18,056db926-cf6d-11e7-bf80-af5f6f60b912,0.5112865784722628,1.9040954849216196,a02f3498-53f4-11e7-8939-674381e1a26c,写出同类二次根式,55.0,0.8597122302158273,16638.845323741007,278,16-3.1.2,16,3
